20
Alpha | Phero | Elite | Gen   | Length
    0 |   0.5 |     3   | 8 |       31
    0 |   0.5 |     3   | 9 |       22
    0 |   0.5 |     4   | 1 |       22
    0 |   0.5 |     4   | 2 |       25
    0 |   0.5 |     4   | 3 |       25
    0 |   0.5 |     4   | 4 |       33
    0 |   0.5 |     4   | 5 |       31
    0 |   0.5 |     4   | 6 |       24
    0 |   0.5 |     4   | 7 |       27
    0 |   0.5 |     4   | 8 |       27
    0 |   0.5 |     4   | 9 |       19
    0 |     1 |     0   | 1 |       22
    0 |     1 |     0   | 2 |       27
    0 |     1 |     0   | 3 |       35
    0 |     1 |     0   | 4 |       30
    0 |     1 |     0   | 5 |       24
    0 |     1 |     0   | 6 |       26
    0 |     1 |     0   | 7 |       25
    0 |     1 |     0   | 8 |       31
    0 |     1 |     0   | 9 |       24
    0 |     1 |     1   | 1 |       31
    0 |     1 |     1   | 2 |       24
    0 |     1 |     1   | 3 |       23
    0 |     1 |     1   | 4 |       39
    0 |     1 |     1   | 5 |       25
    0 |     1 |     1   | 6 |       22
    0 |     1 |     1   | 7 |       24
    0 |     1 |     1   | 8 |       42
    0 |     1 |     1   | 9 |       31
    0 |     1 |     2   | 1 |       35
    0 |     1 |     2   | 2 |       31
    0 |     1 |     2   | 3 |       26
    0 |     1 |     2   | 4 |       34
    0 |     1 |     2   | 5 |       30
    0 |     1 |     2   | 6 |       23
    0 |     1 |     2   | 7 |       23
    0 |     1 |     2   | 8 |       19
    0 |     1 |     2   | 9 |       29
    0 |     1 |     3   | 1 |       23
    0 |     1 |     3   | 2 |       36
    0 |     1 |     3   | 3 |       10
    0 |     1 |     3   | 4 |       28
    0 |     1 |     3   | 5 |       25
    0 |     1 |     3   | 6 |       40
    0 |     1 |     3   | 7 |       27
    0 |     1 |     3   | 8 |       30
    0 |     1 |     3   | 9 |       26
    0 |     1 |     4   | 1 |       28
    0 |     1 |     4   | 2 |       26
    0 |     1 |     4   | 3 |       24
    0 |     1 |     4   | 4 |       25
    0 |     1 |     4   | 5 |       39
    0 |     1 |     4   | 6 |       32
    0 |     1 |     4   | 7 |       19
    0 |     1 |     4   | 8 |       25
    0 |     1 |     4   | 9 |       22
    0 |   1.5 |     0   | 1 |       17
    0 |   1.5 |     0   | 2 |       30
    0 |   1.5 |     0   | 3 |       35
    0 |   1.5 |     0   | 4 |       26
    0 |   1.5 |     0   | 5 |       24
    0 |   1.5 |     0   | 6 |       36
    0 |   1.5 |     0   | 7 |       29
    0 |   1.5 |     0   | 8 |       23
    0 |   1.5 |     0   | 9 |       19
    0 |   1.5 |     1   | 1 |       18
    0 |   1.5 |     1   | 2 |       29
    0 |   1.5 |     1   | 3 |       34
    0 |   1.5 |     1   | 4 |       26
    0 |   1.5 |     1   | 5 |       19
    0 |   1.5 |     1   | 6 |       14
    0 |   1.5 |     1   | 7 |       36
    0 |   1.5 |     1   | 8 |       29
    0 |   1.5 |     1   | 9 |       22
    0 |   1.5 |     2   | 1 |       32
    0 |   1.5 |     2   | 2 |       22
    0 |   1.5 |     2   | 3 |       11
    0 |   1.5 |     2   | 4 |       21
    0 |   1.5 |     2   | 5 |       27
    0 |   1.5 |     2   | 6 |       28
    0 |   1.5 |     2   | 7 |       35
    0 |   1.5 |     2   | 8 |       42
    0 |   1.5 |     2   | 9 |       33
    0 |   1.5 |     3   | 1 |       23
    0 |   1.5 |     3   | 2 |       20
    0 |   1.5 |     3   | 3 |       28
    0 |   1.5 |     3   | 4 |       28
    0 |   1.5 |     3   | 5 |       28
    0 |   1.5 |     3   | 6 |       25
    0 |   1.5 |     3   | 7 |       29
    0 |   1.5 |     3   | 8 |       24
    0 |   1.5 |     3   | 9 |       24
    0 |   1.5 |     4   | 1 |       25
    0 |   1.5 |     4   | 2 |       31
    0 |   1.5 |     4   | 3 |       25
    0 |   1.5 |     4   | 4 |       24
    0 |   1.5 |     4   | 5 |       36
    0 |   1.5 |     4   | 6 |       26
    0 |   1.5 |     4   | 7 |       26
    0 |   1.5 |     4   | 8 |       22
    0 |   1.5 |     4   | 9 |       27
    0 |     2 |     0   | 1 |       15
    0 |     2 |     0   | 2 |       27
    0 |     2 |     0   | 3 |       23
    0 |     2 |     0   | 4 |       25
    0 |     2 |     0   | 5 |       23
    0 |     2 |     0   | 6 |       38
    0 |     2 |     0   | 7 |       27
    0 |     2 |     0   | 8 |       23
    0 |     2 |     0   | 9 |       28
    0 |     2 |     1   | 1 |       21
    0 |     2 |     1   | 2 |       20
    0 |     2 |     1   | 3 |       34
    0 |     2 |     1   | 4 |       22
    0 |     2 |     1   | 5 |       29
    0 |     2 |     1   | 6 |       27
    0 |     2 |     1   | 7 |       25
    0 |     2 |     1   | 8 |       22
    0 |     2 |     1   | 9 |       30
    0 |     2 |     2   | 1 |       36
    0 |     2 |     2   | 2 |       17
    0 |     2 |     2   | 3 |       35
    0 |     2 |     2   | 4 |       29
    0 |     2 |     2   | 5 |       24
    0 |     2 |     2   | 6 |       28
    0 |     2 |     2   | 7 |       24
    0 |     2 |     2   | 8 |       20
    0 |     2 |     2   | 9 |       28
    0 |     2 |     3   | 1 |       23
    0 |     2 |     3   | 2 |       33
    0 |     2 |     3   | 3 |       26
    0 |     2 |     3   | 4 |       13
    0 |     2 |     3   | 5 |       13
    0 |     2 |     3   | 6 |       22
    0 |     2 |     3   | 7 |       34
    0 |     2 |     3   | 8 |       25
    0 |     2 |     3   | 9 |       20
    0 |     2 |     4   | 1 |       18
    0 |     2 |     4   | 2 |       18
    0 |     2 |     4   | 3 |       27
    0 |     2 |     4   | 4 |       20
    0 |     2 |     4   | 5 |       24
    0 |     2 |     4   | 6 |       33
    0 |     2 |     4   | 7 |       22
    0 |     2 |     4   | 8 |       36
    0 |     2 |     4   | 9 |       22
  0.2 |     0 |     0   | 1 |       26
  0.2 |     0 |     0   | 2 |       31
  0.2 |     0 |     0   | 3 |       28
  0.2 |     0 |     0   | 4 |       36
  0.2 |     0 |     0   | 5 |       23
  0.2 |     0 |     0   | 6 |       22
  0.2 |     0 |     0   | 7 |       23
  0.2 |     0 |     0   | 8 |       34
  0.2 |     0 |     0   | 9 |       27
  0.2 |     0 |     1   | 1 |       35
  0.2 |     0 |     1   | 2 |       40
  0.2 |     0 |     1   | 3 |       30
  0.2 |     0 |     1   | 4 |       15
  0.2 |     0 |     1   | 5 |       13
  0.2 |     0 |     1   | 6 |       37
  0.2 |     0 |     1   | 7 |       20
  0.2 |     0 |     1   | 8 |       15
  0.2 |     0 |     1   | 9 |       27
  0.2 |     0 |     2   | 1 |       44
  0.2 |     0 |     2   | 2 |       34
  0.2 |     0 |     2   | 3 |       29
  0.2 |     0 |     2   | 4 |       30
  0.2 |     0 |     2   | 5 |       14
  0.2 |     0 |     2   | 6 |       12
  0.2 |     0 |     2   | 7 |       36
  0.2 |     0 |     2   | 8 |       22
  0.2 |     0 |     2   | 9 |       31
  0.2 |     0 |     3   | 1 |       17
  0.2 |     0 |     3   | 2 |       25
  0.2 |     0 |     3   | 3 |       33
  0.2 |     0 |     3   | 4 |       39
  0.2 |     0 |     3   | 5 |       30
  0.2 |     0 |     3   | 6 |       44
  0.2 |     0 |     3   | 7 |       45
  0.2 |     0 |     3   | 8 |       39
  0.2 |     0 |     3   | 9 |       35
  0.2 |     0 |     4   | 1 |       25
  0.2 |     0 |     4   | 2 |       33
  0.2 |     0 |     4   | 3 |       30
  0.2 |     0 |     4   | 4 |       16
  0.2 |     0 |     4   | 5 |       45
  0.2 |     0 |     4   | 6 |       35
  0.2 |     0 |     4   | 7 |       17
  0.2 |     0 |     4   | 8 |       31
  0.2 |     0 |     4   | 9 |       22
  0.2 |   0.5 |     0   | 1 |       40
  0.2 |   0.5 |     0   | 2 |       22
  0.2 |   0.5 |     0   | 3 |       23
  0.2 |   0.5 |     0   | 4 |       18
  0.2 |   0.5 |     0   | 5 |       29
  0.2 |   0.5 |     0   | 6 |       22
  0.2 |   0.5 |     0   | 7 |       25
  0.2 |   0.5 |     0   | 8 |       27
  0.2 |   0.5 |     0   | 9 |       16
  0.2 |   0.5 |     1   | 1 |       29
  0.2 |   0.5 |     1   | 2 |       28
  0.2 |   0.5 |     1   | 3 |       22
  0.2 |   0.5 |     1   | 4 |       32
  0.2 |   0.5 |     1   | 5 |       27
  0.2 |   0.5 |     1   | 6 |       29
  0.2 |   0.5 |     1   | 7 |       22
  0.2 |   0.5 |     1   | 8 |       24
  0.2 |   0.5 |     1   | 9 |       21
  0.2 |   0.5 |     2   | 1 |       19
  0.2 |   0.5 |     2   | 2 |       31
  0.2 |   0.5 |     2   | 3 |       31
  0.2 |   0.5 |     2   | 4 |       24
  0.2 |   0.5 |     2   | 5 |       32
  0.2 |   0.5 |     2   | 6 |       26
  0.2 |   0.5 |     2   | 7 |       34
  0.2 |   0.5 |     2   | 8 |       25
  0.2 |   0.5 |     2   | 9 |       29
  0.2 |   0.5 |     3   | 1 |       26
  0.2 |   0.5 |     3   | 2 |       26
  0.2 |   0.5 |     3   | 3 |       28
  0.2 |   0.5 |     3   | 4 |       18
  0.2 |   0.5 |     3   | 5 |       34
  0.2 |   0.5 |     3   | 6 |       17
  0.2 |   0.5 |     3   | 7 |       32
  0.2 |   0.5 |     3   | 8 |       34
  0.2 |   0.5 |     3   | 9 |       41
  0.2 |   0.5 |     4   | 1 |       36
  0.2 |   0.5 |     4   | 2 |       12
  0.2 |   0.5 |     4   | 3 |       18
  0.2 |   0.5 |     4   | 4 |       35
  0.2 |   0.5 |     4   | 5 |       25
  0.2 |   0.5 |     4   | 6 |       19
  0.2 |   0.5 |     4   | 7 |       40
  0.2 |   0.5 |     4   | 8 |       31
  0.2 |   0.5 |     4   | 9 |       33
  0.2 |     1 |     0   | 1 |       27
  0.2 |     1 |     0   | 2 |       32
  0.2 |     1 |     0   | 3 |       24
  0.2 |     1 |     0   | 4 |       21
  0.2 |     1 |     0   | 5 |       27
  0.2 |     1 |     0   | 6 |       35
  0.2 |     1 |     0   | 7 |       19
  0.2 |     1 |     0   | 8 |       43
  0.2 |     1 |     0   | 9 |       30
  0.2 |     1 |     1   | 1 |       16
  0.2 |     1 |     1   | 2 |       33
  0.2 |     1 |     1   | 3 |       30
  0.2 |     1 |     1   | 4 |       18
  0.2 |     1 |     1   | 5 |       22
  0.2 |     1 |     1   | 6 |       34
  0.2 |     1 |     1   | 7 |       22
  0.2 |     1 |     1   | 8 |       22
  0.2 |     1 |     1   | 9 |       28
  0.2 |     1 |     2   | 1 |       18
  0.2 |     1 |     2   | 2 |       25
  0.2 |     1 |     2   | 3 |       28
  0.2 |     1 |     2   | 4 |       35
  0.2 |     1 |     2   | 5 |       26
  0.2 |     1 |     2   | 6 |       17
  0.2 |     1 |     2   | 7 |       30
  0.2 |     1 |     2   | 8 |       24
  0.2 |     1 |     2   | 9 |       23
  0.2 |     1 |     3   | 1 |       26
  0.2 |     1 |     3   | 2 |       18
  0.2 |     1 |     3   | 3 |       34
  0.2 |     1 |     3   | 4 |       26
  0.2 |     1 |     3   | 5 |       22
  0.2 |     1 |     3   | 6 |       19
  0.2 |     1 |     3   | 7 |       27
  0.2 |     1 |     3   | 8 |       17
  0.2 |     1 |     3   | 9 |       32
  0.2 |     1 |     4   | 1 |       22
  0.2 |     1 |     4   | 2 |       35
  0.2 |     1 |     4   | 3 |       21
  0.2 |     1 |     4   | 4 |       28
  0.2 |     1 |     4   | 5 |       19
  0.2 |     1 |     4   | 6 |       15
  0.2 |     1 |     4   | 7 |       37
  0.2 |     1 |     4   | 8 |       23
  0.2 |     1 |     4   | 9 |       32
  0.2 |   1.5 |     0   | 1 |       13
  0.2 |   1.5 |     0   | 2 |       35
  0.2 |   1.5 |     0   | 3 |       25
  0.2 |   1.5 |     0   | 4 |       22
  0.2 |   1.5 |     0   | 5 |       30
  0.2 |   1.5 |     0   | 6 |       24
  0.2 |   1.5 |     0   | 7 |       13
  0.2 |   1.5 |     0   | 8 |       23
  0.2 |   1.5 |     0   | 9 |       19
  0.2 |   1.5 |     1   | 1 |       26
  0.2 |   1.5 |     1   | 2 |       27
  0.2 |   1.5 |     1   | 3 |       27
  0.2 |   1.5 |     1   | 4 |       23
  0.2 |   1.5 |     1   | 5 |       16
  0.2 |   1.5 |     1   | 6 |       30
  0.2 |   1.5 |     1   | 7 |       24
  0.2 |   1.5 |     1   | 8 |       29
  0.2 |   1.5 |     1   | 9 |       28
  0.2 |   1.5 |     2   | 1 |       24
  0.2 |   1.5 |     2   | 2 |       44
  0.2 |   1.5 |     2   | 3 |       19
  0.2 |   1.5 |     2   | 4 |       34
  0.2 |   1.5 |     2   | 5 |       26
  0.2 |   1.5 |     2   | 6 |       18
  0.2 |   1.5 |     2   | 7 |       22
  0.2 |   1.5 |     2   | 8 |       14
  0.2 |   1.5 |     2   | 9 |       28
  0.2 |   1.5 |     3   | 1 |       30
  0.2 |   1.5 |     3   | 2 |       17
  0.2 |   1.5 |     3   | 3 |       29
  0.2 |   1.5 |     3   | 4 |       33
  0.2 |   1.5 |     3   | 5 |       34
  0.2 |   1.5 |     3   | 6 |       14
  0.2 |   1.5 |     3   | 7 |       15
  0.2 |   1.5 |     3   | 8 |       27
  0.2 |   1.5 |     3   | 9 |       20
  0.2 |   1.5 |     4   | 1 |       28
  0.2 |   1.5 |     4   | 2 |       30
  0.2 |   1.5 |     4   | 3 |       26
  0.2 |   1.5 |     4   | 4 |       24
  0.2 |   1.5 |     4   | 5 |       30
  0.2 |   1.5 |     4   | 6 |       37
  0.2 |   1.5 |     4   | 7 |       12
  0.2 |   1.5 |     4   | 8 |       22
  0.2 |   1.5 |     4   | 9 |       18
  0.2 |     2 |     0   | 1 |       20
  0.2 |     2 |     0   | 2 |       19
  0.2 |     2 |     0   | 3 |       31
  0.2 |     2 |     0   | 4 |       20
  0.2 |     2 |     0   | 5 |       16
  0.2 |     2 |     0   | 6 |       29
  0.2 |     2 |     0   | 7 |       28
  0.2 |     2 |     0   | 8 |       18
  0.2 |     2 |     0   | 9 |       23
  0.2 |     2 |     1   | 1 |       35
  0.2 |     2 |     1   | 2 |       18
  0.2 |     2 |     1   | 3 |       33
  0.2 |     2 |     1   | 4 |       42
  0.2 |     2 |     1   | 5 |       35
  0.2 |     2 |     1   | 6 |       16
  0.2 |     2 |     1   | 7 |       21
  0.2 |     2 |     1   | 8 |       28
  0.2 |     2 |     1   | 9 |       29
  0.2 |     2 |     2   | 1 |       14
  0.2 |     2 |     2   | 2 |       33
  0.2 |     2 |     2   | 3 |       24
  0.2 |     2 |     2   | 4 |       37
  0.2 |     2 |     2   | 5 |       43
  0.2 |     2 |     2   | 6 |       26
  0.2 |     2 |     2   | 7 |       29
  0.2 |     2 |     2   | 8 |       24
  0.2 |     2 |     2   | 9 |       23
  0.2 |     2 |     3   | 1 |       38
  0.2 |     2 |     3   | 2 |       29
  0.2 |     2 |     3   | 3 |       22
  0.2 |     2 |     3   | 4 |       24
  0.2 |     2 |     3   | 5 |       14
  0.2 |     2 |     3   | 6 |       24
  0.2 |     2 |     3   | 7 |       30
  0.2 |     2 |     3   | 8 |       16
  0.2 |     2 |     3   | 9 |       14
  0.2 |     2 |     4   | 1 |       16
  0.2 |     2 |     4   | 2 |       29
  0.2 |     2 |     4   | 3 |       46
  0.2 |     2 |     4   | 4 |       20
  0.2 |     2 |     4   | 5 |       27
  0.2 |     2 |     4   | 6 |       37
  0.2 |     2 |     4   | 7 |       36
  0.2 |     2 |     4   | 8 |       47
  0.2 |     2 |     4   | 9 |       19
  0.4 |     0 |     0   | 1 |       18
  0.4 |     0 |     0   | 2 |       33
  0.4 |     0 |     0   | 3 |       44
  0.4 |     0 |     0   | 4 |       23
  0.4 |     0 |     0   | 5 |       30
  0.4 |     0 |     0   | 6 |       30
  0.4 |     0 |     0   | 7 |       33
  0.4 |     0 |     0   | 8 |       30
  0.4 |     0 |     0   | 9 |       26
  0.4 |     0 |     1   | 1 |       22
  0.4 |     0 |     1   | 2 |       17
  0.4 |     0 |     1   | 3 |       41
  0.4 |     0 |     1   | 4 |       33
  0.4 |     0 |     1   | 5 |       33
  0.4 |     0 |     1   | 6 |       24
  0.4 |     0 |     1   | 7 |       33
  0.4 |     0 |     1   | 8 |       31
  0.4 |     0 |     1   | 9 |       32
  0.4 |     0 |     2   | 1 |       22
  0.4 |     0 |     2   | 2 |       19
  0.4 |     0 |     2   | 3 |       22
  0.4 |     0 |     2   | 4 |       27
  0.4 |     0 |     2   | 5 |       28
  0.4 |     0 |     2   | 6 |       29
  0.4 |     0 |     2   | 7 |       30
  0.4 |     0 |     2   | 8 |       23
  0.4 |     0 |     2   | 9 |       20
  0.4 |     0 |     3   | 1 |       24
  0.4 |     0 |     3   | 2 |       19
  0.4 |     0 |     3   | 3 |       26
  0.4 |     0 |     3   | 4 |       37
  0.4 |     0 |     3   | 5 |       17
  0.4 |     0 |     3   | 6 |       27
  0.4 |     0 |     3   | 7 |       33
  0.4 |     0 |     3   | 8 |       20
  0.4 |     0 |     3   | 9 |       15
  0.4 |     0 |     4   | 1 |       42
  0.4 |     0 |     4   | 2 |       30
  0.4 |     0 |     4   | 3 |       16
  0.4 |     0 |     4   | 4 |       28
  0.4 |     0 |     4   | 5 |       16
  0.4 |     0 |     4   | 6 |       34
  0.4 |     0 |     4   | 7 |       31
  0.4 |     0 |     4   | 8 |       27
  0.4 |     0 |     4   | 9 |       18
  0.4 |   0.5 |     0   | 1 |       42
  0.4 |   0.5 |     0   | 2 |       20
  0.4 |   0.5 |     0   | 3 |       22
  0.4 |   0.5 |     0   | 4 |       33
  0.4 |   0.5 |     0   | 5 |       30
  0.4 |   0.5 |     0   | 6 |       18
  0.4 |   0.5 |     0   | 7 |       43
  0.4 |   0.5 |     0   | 8 |       34
  0.4 |   0.5 |     0   | 9 |       36
  0.4 |   0.5 |     1   | 1 |       25
  0.4 |   0.5 |     1   | 2 |       39
  0.4 |   0.5 |     1   | 3 |       27
  0.4 |   0.5 |     1   | 4 |       23
  0.4 |   0.5 |     1   | 5 |       30
  0.4 |   0.5 |     1   | 6 |       28
  0.4 |   0.5 |     1   | 7 |       33
  0.4 |   0.5 |     1   | 8 |       36
  0.4 |   0.5 |     1   | 9 |       18
  0.4 |   0.5 |     2   | 1 |       31
  0.4 |   0.5 |     2   | 2 |       30
  0.4 |   0.5 |     2   | 3 |       31
  0.4 |   0.5 |     2   | 4 |       19
  0.4 |   0.5 |     2   | 5 |       19
  0.4 |   0.5 |     2   | 6 |       25
  0.4 |   0.5 |     2   | 7 |       32
  0.4 |   0.5 |     2   | 8 |       15
  0.4 |   0.5 |     2   | 9 |       24
  0.4 |   0.5 |     3   | 1 |       27
  0.4 |   0.5 |     3   | 2 |       15
  0.4 |   0.5 |     3   | 3 |       36
  0.4 |   0.5 |     3   | 4 |       26
  0.4 |   0.5 |     3   | 5 |       20
  0.4 |   0.5 |     3   | 6 |       31
  0.4 |   0.5 |     3   | 7 |       29
  0.4 |   0.5 |     3   | 8 |       18
  0.4 |   0.5 |     3   | 9 |       34
  0.4 |   0.5 |     4   | 1 |       28
  0.4 |   0.5 |     4   | 2 |       44
  0.4 |   0.5 |     4   | 3 |       24
  0.4 |   0.5 |     4   | 4 |       30
  0.4 |   0.5 |     4   | 5 |       26
  0.4 |   0.5 |     4   | 6 |       30
  0.4 |   0.5 |     4   | 7 |       36
  0.4 |   0.5 |     4   | 8 |       19
  0.4 |   0.5 |     4   | 9 |       21
  0.4 |     1 |     0   | 1 |       19
  0.4 |     1 |     0   | 2 |       24
  0.4 |     1 |     0   | 3 |       28
  0.4 |     1 |     0   | 4 |       33
  0.4 |     1 |     0   | 5 |       22
  0.4 |     1 |     0   | 6 |       15
  0.4 |     1 |     0   | 7 |       25
  0.4 |     1 |     0   | 8 |       30
  0.4 |     1 |     0   | 9 |       27
  0.4 |     1 |     1   | 1 |       23
  0.4 |     1 |     1   | 2 |       14
  0.4 |     1 |     1   | 3 |       21
  0.4 |     1 |     1   | 4 |       29
  0.4 |     1 |     1   | 5 |       37
  0.4 |     1 |     1   | 6 |       25
  0.4 |     1 |     1   | 7 |       26
  0.4 |     1 |     1   | 8 |       22
  0.4 |     1 |     1   | 9 |       28
  0.4 |     1 |     2   | 1 |       22
  0.4 |     1 |     2   | 2 |       14
  0.4 |     1 |     2   | 3 |       21
  0.4 |     1 |     2   | 4 |       19
  0.4 |     1 |     2   | 5 |       15
  0.4 |     1 |     2   | 6 |       18
  0.4 |     1 |     2   | 7 |       35
  0.4 |     1 |     2   | 8 |       23
  0.4 |     1 |     2   | 9 |       38
  0.4 |     1 |     3   | 1 |       27
  0.4 |     1 |     3   | 2 |       32
  0.4 |     1 |     3   | 3 |       27
  0.4 |     1 |     3   | 4 |       29
  0.4 |     1 |     3   | 5 |       20
  0.4 |     1 |     3   | 6 |       21
  0.4 |     1 |     3   | 7 |       31
  0.4 |     1 |     3   | 8 |       32
  0.4 |     1 |     3   | 9 |       25
  0.4 |     1 |     4   | 1 |       21
  0.4 |     1 |     4   | 2 |       22
  0.4 |     1 |     4   | 3 |       28
  0.4 |     1 |     4   | 4 |       29
  0.4 |     1 |     4   | 5 |       19
  0.4 |     1 |     4   | 6 |       29
  0.4 |     1 |     4   | 7 |       30
  0.4 |     1 |     4   | 8 |       18
  0.4 |     1 |     4   | 9 |       27
  0.4 |   1.5 |     0   | 1 |       23
  0.4 |   1.5 |     0   | 2 |       44
  0.4 |   1.5 |     0   | 3 |       33
  0.4 |   1.5 |     0   | 4 |       30
  0.4 |   1.5 |     0   | 5 |       23
  0.4 |   1.5 |     0   | 6 |       27
  0.4 |   1.5 |     0   | 7 |       18
  0.4 |   1.5 |     0   | 8 |       21
  0.4 |   1.5 |     0   | 9 |       32
  0.4 |   1.5 |     1   | 1 |       25
  0.4 |   1.5 |     1   | 2 |       22
  0.4 |   1.5 |     1   | 3 |       18
  0.4 |   1.5 |     1   | 4 |       23
  0.4 |   1.5 |     1   | 5 |       21
  0.4 |   1.5 |     1   | 6 |       32
  0.4 |   1.5 |     1   | 7 |       32
  0.4 |   1.5 |     1   | 8 |       17
  0.4 |   1.5 |     1   | 9 |       16
  0.4 |   1.5 |     2   | 1 |       24
  0.4 |   1.5 |     2   | 2 |       21
  0.4 |   1.5 |     2   | 3 |       30
  0.4 |   1.5 |     2   | 4 |       21
  0.4 |   1.5 |     2   | 5 |       45
  0.4 |   1.5 |     2   | 6 |       31
  0.4 |   1.5 |     2   | 7 |       21
  0.4 |   1.5 |     2   | 8 |       32
  0.4 |   1.5 |     2   | 9 |       28
  0.4 |   1.5 |     3   | 1 |       32
  0.4 |   1.5 |     3   | 2 |       31
  0.4 |   1.5 |     3   | 3 |       39
  0.4 |   1.5 |     3   | 4 |       17
  0.4 |   1.5 |     3   | 5 |       29
  0.4 |   1.5 |     3   | 6 |       27
  0.4 |   1.5 |     3   | 7 |       28
  0.4 |   1.5 |     3   | 8 |       36
  0.4 |   1.5 |     3   | 9 |       34
  0.4 |   1.5 |     4   | 1 |       28
  0.4 |   1.5 |     4   | 2 |       27
  0.4 |   1.5 |     4   | 3 |       25
  0.4 |   1.5 |     4   | 4 |       20
  0.4 |   1.5 |     4   | 5 |       23
  0.4 |   1.5 |     4   | 6 |       35
  0.4 |   1.5 |     4   | 7 |       23
  0.4 |   1.5 |     4   | 8 |       24
  0.4 |   1.5 |     4   | 9 |       16
  0.4 |     2 |     0   | 1 |       19
  0.4 |     2 |     0   | 2 |       26
  0.4 |     2 |     0   | 3 |       39
  0.4 |     2 |     0   | 4 |       20
  0.4 |     2 |     0   | 5 |       20
  0.4 |     2 |     0   | 6 |       29
  0.4 |     2 |     0   | 7 |       33
  0.4 |     2 |     0   | 8 |       27
  0.4 |     2 |     0   | 9 |       27
  0.4 |     2 |     1   | 1 |       43
  0.4 |     2 |     1   | 2 |       31
  0.4 |     2 |     1   | 3 |       30
  0.4 |     2 |     1   | 4 |       28
  0.4 |     2 |     1   | 5 |       31
  0.4 |     2 |     1   | 6 |       31
  0.4 |     2 |     1   | 7 |       22
  0.4 |     2 |     1   | 8 |       32
  0.4 |     2 |     1   | 9 |       19
  0.4 |     2 |     2   | 1 |       18
  0.4 |     2 |     2   | 2 |       29
  0.4 |     2 |     2   | 3 |       21
  0.4 |     2 |     2   | 4 |       30
  0.4 |     2 |     2   | 5 |       35
  0.4 |     2 |     2   | 6 |       27
  0.4 |     2 |     2   | 7 |       31
  0.4 |     2 |     2   | 8 |       29
  0.4 |     2 |     2   | 9 |       24
  0.4 |     2 |     3   | 1 |       36
  0.4 |     2 |     3   | 2 |       12
  0.4 |     2 |     3   | 3 |       34
